City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saint-Paul,RE,2021-10-14 23:39:37,-21.0096,55.2707,71.71,91,82,1.99
68,Vardo,NO,2021-10-14 23:39:07,70.3705,31.1107,37.02,94,100,18.59
69,Tura,IN,2021-10-14 23:39:38,25.5198,90.2201,74.77,86,100,3.4
70,Ancud,CL,2021-10-14 23:39:38,-41.8697,-73.8203,45.93,72,16,9.19
71,Hilo,US,2021-10-14 23:38:01,19.7297,-155.09,78.53,81,90,8.05
72,Butaritari,KI,2021-10-14 23:39:39,3.0707,172.7902,82.45,73,17,14.74
73,Rurrenabaque,BO,2021-10-14 23:39:40,-14.4413,-67.5278,89.22,47,95,3.65
74,Salalah,OM,2021-10-14 23:39:03,17.0151,54.0924,77.09,57,20,3.44
75,Port Hedland,AU,2021-10-14 23:39:41,-20.3167,118.5667,75.25,46,1,4.61
76,Berlevag,NO,2021-10-14 23:39:41,70.8578,29.0864,36.73,88,100,9.75
77,Iqaluit,CA,2021-10-14 23:38:43,63.7506,-68.5145,31.73,69,90,8.99
78,Palm City,US,2021-10-14 23:39:42,27.1678,-80.2662,82.45,76,20,8.05
79,Punta Arenas,CL,2021-10-14 23:36:43,-53.15,-70.9167,44.71,65,40,19.57
80,Zunyi,CN,2021-10-14 23:39:42,27.6867,106.9072,61.3,96,100,2.33
81,Sabaudia,IT,2021-10-14 23:39:43,41.3003,13.0282,53.51,53,0,7.31
82,Mujiayingzi,CN,2021-10-14 23:39:43,42.1167,118.7833,48.76,48,58,4.05
83,Bayir,TR,2021-10-14 23:39:44,37.2687,28.2167,63.12,91,2,5.61
84,Qaanaaq,GL,2021-10-14 23:38:39,77.484,-69.3632,13.71,78,79,4.14
85,Olafsvik,IS,2021-10-14 23:39:44,64.8945,-23.7142,43.95,78,89,23.62
86,East London,ZA,2021-10-14 23:38:41,-33.0153,27.9116,63.36,74,100,8.68
87,Bandundu,CD,2021-10-14 23:39:45,-3.3167,17.3667,72.99,93,76,3.09
88,Hasaki,JP,2021-10-14 23:39:45,35.7333,140.8333,66.6,63,0,1.3
89,Gympie,AU,2021-10-14 23:39:46,-26.1898,152.665,77.99,60,88,7.43
90,Mataura,NZ,2021-10-14 23:38:42,-46.1927,168.8643,56.91,46,61,5.19
91,Dikson,RU,2021-10-14 23:39:46,73.5069,80.5464,32.13,99,100,6.8
92,Atuona,PF,2021-10-14 23:38:53,-9.8,-139.0333,77.67,80,18,15.9
93,Namibe,AO,2021-10-14 23:39:47,-15.1961,12.1522,63.57,90,42,5.95
94,Zalari,RU,2021-10-14 23:39:47,53.5584,102.5065,17.56,69,0,1.83
95,Hokitika,NZ,2021-10-14 23:39:48,-42.7167,170.9667,53.85,64,85,4.36
96,Dunedin,NZ,2021-10-14 23:39:10,-45.8742,170.5036,56.8,48,88,5.99
97,Bethel,US,2021-10-14 23:39:48,41.3712,-73.414,68.58,84,1,0.0
98,Ponta Do Sol,PT,2021-10-14 23:38:55,32.6667,-17.1,69.71,75,11,1.59
99,Pyskowice,PL,2021-10-14 23:39:49,50.4,18.6333,48.34,86,99,8.99
100,Nemuro,JP,2021-10-14 23:39:49,43.3236,145.575,58.96,89,100,11.5
101,Ribeira Grande,PT,2021-10-14 23:39:02,38.5167,-28.7,70.83,88,86,11.43
102,Anadyr,RU,2021-10-14 23:39:50,64.75,177.4833,21.7,79,0,11.18
103,Ashland,US,2021-10-14 23:35:07,40.8167,-82.2665,75.96,73,100,6.67
104,Barrow,US,2021-10-14 23:35:43,71.2906,-156.7887,26.62,80,90,23.02
105,New Norfolk,AU,2021-10-14 23:39:07,-42.7826,147.0587,58.66,88,100,1.01
106,Slave Lake,CA,2021-10-14 23:39:51,55.2834,-114.769,48.18,61,1,4.61
107,Callaway,US,2021-10-14 23:39:52,30.153,-85.5699,80.53,85,1,1.99
108,Sioux Lookout,CA,2021-10-14 23:39:52,50.1001,-91.917,50.07,87,90,12.66
109,Hithadhoo,MV,2021-10-14 23:39:52,-0.6,73.0833,83.3,78,100,24.27
110,Lata,PT,2021-10-14 23:38:39,40.1629,-8.3327,61.81,57,100,1.12
111,Odweyne,SO,2021-10-14 23:39:53,9.4092,45.064,72.18,30,43,10.42
112,Tasiilaq,GL,2021-10-14 23:39:53,65.6145,-37.6368,46.56,59,99,11.83
113,Faya,SA,2021-10-14 23:39:54,18.3851,42.4509,60.91,25,1,4.61
114,Barra Patuca,HN,2021-10-14 23:39:55,15.8,-84.2833,81.45,75,8,10.27
115,Mount Darwin,ZW,2021-10-14 23:39:55,-16.7725,31.5838,62.47,73,1,0.63
116,Gilgit,PK,2021-10-14 23:39:55,35.9221,74.3087,60.06,31,0,2.48
117,Sitka,US,2021-10-14 23:39:56,57.0531,-135.33,42.69,87,90,4.61
118,Khorramshahr,IR,2021-10-14 23:39:56,30.4397,48.1664,82.36,26,0,6.91
119,Tiznit,MA,2021-10-14 23:39:57,29.5833,-9.5,67.26,57,2,1.34
120,Somerset West,ZA,2021-10-14 23:39:57,-34.084,18.8211,59.04,89,96,1.99
121,Goderich,CA,2021-10-14 23:39:58,43.7501,-81.7165,71.92,83,86,4.61
122,Saldanha,ZA,2021-10-14 23:39:58,-33.0117,17.9442,53.65,81,60,7.56
123,Chenzhou,CN,2021-10-14 23:39:58,25.8,113.0333,59.99,98,100,3.53
124,Oak Harbor,US,2021-10-14 23:39:59,48.2932,-122.6432,58.57,76,75,5.01
125,Kilindoni,TZ,2021-10-14 23:39:59,-7.9139,39.6668,77.38,79,22,12.57
126,Pevek,RU,2021-10-14 23:38:51,69.7008,170.3133,19.6,92,100,4.38
127,Clyde River,CA,2021-10-14 23:40:00,70.4692,-68.5914,23.27,72,65,5.32
128,Porto Velho,BR,2021-10-14 23:38:13,-8.7619,-63.9039,82.45,78,20,2.3
129,Medea,DZ,2021-10-14 23:40:01,36.2642,2.7539,50.45,74,0,3.24
130,Rosario,AR,2021-10-14 23:35:17,-32.9468,-60.6393,56.95,67,0,1.01
131,Ostrovnoy,RU,2021-10-14 23:40:02,68.0531,39.5131,36.68,83,81,18.84
132,Gudari,IN,2021-10-14 23:40:03,19.35,83.7833,75.2,96,100,3.33
133,Newton,US,2021-10-14 23:36:17,42.337,-71.2092,69.01,82,1,0.0
134,Estreito,BR,2021-10-14 23:40:04,-5.7833,-43.25,86.36,34,100,2.06
135,Dandong,CN,2021-10-14 23:40:04,40.1292,124.3947,57.96,71,100,7.36
136,Kavieng,PG,2021-10-14 23:40:05,-2.5744,150.7967,84.25,74,40,10.04
137,Agnibilekrou,CI,2021-10-14 23:40:06,7.1344,-3.2047,68.76,96,85,2.75
138,Inndyr,NO,2021-10-14 23:40:06,67.0338,14.0276,36.77,84,94,3.87
139,Castro,BR,2021-10-14 23:37:52,-24.7911,-50.0119,59.88,96,55,2.86
140,Saint-Philippe,RE,2021-10-14 23:40:08,-21.3585,55.7679,71.19,84,36,11.03
141,Sur,OM,2021-10-14 23:40:08,22.5667,59.5289,79.54,41,0,3.27
142,Kapaa,US,2021-10-14 23:40:09,22.0752,-159.319,82.38,71,75,5.99
143,Ahipara,NZ,2021-10-14 23:40:09,-35.1667,173.1667,60.12,52,3,6.15
