City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ambatofinandrahana,MG,-20.55,46.8,58.14,80,1,4.99,clear sky
79,Peterhead,GB,57.5058,-1.7981,46.8,57,100,5.08,overcast clouds
80,Kapaa,US,22.0752,-159.319,79.2,74,40,5.01,light rain
81,Dasoguz,TM,41.8363,59.9666,48.15,46,0,9.22,clear sky
82,Geraldton,AU,-28.7667,114.6,52.21,93,75,9.22,broken clouds
83,Maiduguri,NG,11.8464,13.1603,83.08,59,52,5.35,broken clouds
84,Adrar,MR,20.5022,-10.0711,89.2,13,0,8.32,clear sky
85,Thompson,CA,55.7435,-97.8558,46.56,66,20,6.91,few clouds
86,Slobidka,UA,47.8869,29.3461,47.35,77,100,4.14,overcast clouds
87,Grindavik,IS,63.8424,-22.4338,39.15,93,75,10.36,light intensity drizzle
88,Waingapu,ID,-9.6567,120.2641,80.4,83,49,1.61,scattered clouds
89,Chuy,UY,-33.6971,-53.4616,58.64,51,17,11.27,few clouds
90,Ulaanbaatar,MN,47.9077,106.8832,10.53,79,0,2.24,clear sky
91,Berlevag,NO,70.8578,29.0864,39.33,98,100,29.35,light rain
92,Shimanovsk,RU,52.0,127.7,21.97,52,0,7.56,clear sky
93,Severo-Kurilsk,RU,50.6789,156.125,38.89,61,100,8.03,overcast clouds
94,Moree,AU,-29.4667,149.85,46.42,87,42,3.44,scattered clouds
95,Hamilton,US,39.1834,-84.5333,63.09,50,20,5.01,few clouds
96,Ponta Do Sol,PT,32.6667,-17.1,75.7,60,83,4.76,broken clouds
97,Butaritari,KI,3.0707,172.7902,81.45,69,77,16.24,broken clouds
98,Ahipara,NZ,-35.1667,173.1667,60.55,81,100,15.39,moderate rain
99,Salalah,OM,17.0151,54.0924,78.89,83,0,3.44,clear sky
100,Prado,BR,-17.3411,-39.2208,78.21,80,80,13.76,broken clouds
101,Tiksi,RU,71.6872,128.8694,6.01,94,87,5.88,overcast clouds
102,Santa Rosa De Aguan,HN,15.95,-85.7167,87.82,71,20,12.84,few clouds
103,Savalou,BJ,7.9281,1.9756,82.27,64,48,3.83,scattered clouds
104,Twentynine Palms,US,34.1356,-116.0542,80.98,11,0,1.01,clear sky
105,Lompoc,US,34.6391,-120.4579,90.01,11,1,0.0,clear sky
106,Dwarka,IN,22.2394,68.9678,81.59,65,0,11.32,clear sky
107,Salamanca,ES,40.8333,-6.0,59.0,55,100,5.23,overcast clouds
108,Pangnirtung,CA,66.1451,-65.7125,32.0,64,1,5.75,clear sky
109,Alofi,NU,-19.0595,-169.9187,77.58,72,19,12.8,few clouds
110,La Cruz,MX,23.9167,-106.9,84.27,66,61,4.36,broken clouds
111,Huarmey,PE,-10.0681,-78.1522,69.69,73,97,12.08,overcast clouds
112,Buala,SB,-8.145,159.5921,79.61,77,100,4.79,overcast clouds
113,Mackay,AU,-21.15,149.2,63.05,65,0,6.6,clear sky
114,Malatya,TR,38.5,38.0,66.25,26,0,6.91,clear sky
115,Roald,NO,62.5833,6.1333,42.94,65,40,9.22,scattered clouds
116,Edson,CA,53.5835,-116.4356,46.54,49,1,4.61,clear sky
117,Mar Del Plata,AR,-38.0023,-57.5575,69.82,30,40,14.97,scattered clouds
118,Astoria,US,46.1879,-123.8313,65.14,77,90,1.99,overcast clouds
119,Kuah,MY,6.3265,99.8432,82.38,94,20,0.0,few clouds
120,Ilulissat,GL,69.2167,-51.1,26.62,33,1,3.44,clear sky
121,Novikovo,RU,51.1537,37.8879,52.34,47,100,3.33,moderate rain
122,Carballo,ES,43.213,-8.691,62.29,85,100,9.53,overcast clouds
123,Bredasdorp,ZA,-34.5322,20.0403,52.29,60,100,10.96,overcast clouds
124,Raga,SS,8.4596,25.678,72.3,89,93,4.23,light rain
125,Half Moon Bay,US,37.4636,-122.4286,84.96,35,0,0.83,clear sky
126,Deder,ET,9.3167,41.45,57.79,34,4,3.71,clear sky
127,Urumqi,CN,43.801,87.6005,41.95,57,0,4.47,clear sky
128,Goderich,CA,43.7501,-81.7165,58.91,62,9,18.41,clear sky
129,Castro,BR,-24.7911,-50.0119,73.63,68,95,1.52,overcast clouds
130,Richards Bay,ZA,-28.783,32.0377,67.05,79,100,14.27,light rain
131,San Patricio,US,28.017,-97.5169,77.41,36,54,14.74,broken clouds
132,Gaziantep,TR,37.0594,37.3825,65.86,55,0,12.66,clear sky
133,Albury,AU,-36.0833,146.9167,42.85,100,13,0.0,few clouds
134,Sola,VU,-13.8833,167.55,80.46,75,100,2.37,overcast clouds
135,Port Alfred,ZA,-33.5906,26.891,58.44,66,29,30.58,scattered clouds
136,Qobustan,AZ,40.0824,49.412,59.11,79,0,4.76,clear sky
137,Aklavik,CA,68.2191,-135.0107,23.83,93,90,3.44,light snow
138,Ngaoundere,CM,7.3167,13.5833,67.93,89,100,1.34,moderate rain
139,Bilma,NE,18.6853,12.9164,86.4,34,100,8.63,overcast clouds
140,Komsomolskiy,UZ,40.4272,71.7189,53.02,57,16,2.3,few clouds
141,Kirovskiy,RU,45.0917,133.5136,27.54,50,23,13.8,few clouds
142,Prince George,CA,53.9166,-122.753,47.28,97,75,6.91,broken clouds
143,Hofn,IS,64.2539,-15.2082,36.43,72,100,11.41,overcast clouds
144,Khatanga,RU,71.9667,102.5,11.39,94,100,7.7,overcast clouds
145,Saint-Augustin,CA,51.226,-58.6502,50.25,57,66,11.14,broken clouds
146,Samarai,PG,-10.6167,150.6667,80.6,85,28,9.91,scattered clouds
147,Berezovyy,RU,51.6667,135.7,20.39,95,97,4.32,light snow
148,Srednekolymsk,RU,67.45,153.6833,3.56,99,94,6.22,overcast clouds
149,Torbat-E Jam,IR,35.244,60.6225,52.43,19,0,12.48,clear sky
150,Avera,US,33.194,-82.5271,84.07,54,19,17.36,few clouds
151,New Norfolk,AU,-42.7826,147.0587,46.71,71,93,3.09,overcast clouds
152,Longyearbyen,SJ,78.2186,15.6401,24.64,50,75,13.8,broken clouds
153,Constitucion,CL,-35.3333,-72.4167,60.19,59,16,18.77,few clouds
154,Cabo San Lucas,MX,22.8909,-109.9124,88.9,54,20,3.44,few clouds
155,Kirishi,RU,59.4471,32.0205,37.76,87,100,11.39,overcast clouds
156,Nador,MA,35.174,-2.9287,68.07,77,0,1.14,clear sky
157,Dalby,AU,-27.1833,151.2667,53.83,60,0,5.3,clear sky
158,Kavieng,PG,-2.5744,150.7967,84.78,64,100,13.42,overcast clouds
159,Dunedin,NZ,-45.8742,170.5036,52.81,77,100,11.99,overcast clouds
